Bernalillo County	NM	Bernalillo County Clerk	(505) 468-1290	http://www.bernco.gov/clerk	ocd-division/country:us/state:nm/county:bernalillo
Catron County	NM	Catron County Clerk	(575) 533-6400	http://www.catroncounty.us/custom.html?id=14172	ocd-division/country:us/state:nm/county:catron
Chaves County	NM	Chaves County Clerk	(575) 624-6614	http://www.co.chaves.nm.us/index.php/2012-05-03-17-38-37/clerk	ocd-division/country:us/state:nm/county:chaves
Cibola County	NM	Cibola County Clerk	(505) 285-2535	http://www.co.cibola.nm.us/clerk.html	ocd-division/country:us/state:nm/county:cibola
Colfax County	NM	Colfax County Clerk	(575) 445-5551	http://www.co.colfax.nm.us/departments/clerk/	ocd-division/country:us/state:nm/county:colfax
Curry County	NM	Curry County Clerk	(575) 763-5591	http://www.currycounty.org/elected-offices/clerks-office/	ocd-division/country:us/state:nm/county:curry
De Baca County	NM	De Baca County Clerk	(575) 355-2601	http://www.currycounty.org/elected-offices/clerks-office/	ocd-division/country:us/state:nm/county:de_baca
Doña Ana County	NM	Doña Ana County Clerk	(575) 647-7421	http://www.donaanacounty.org/clerk	ocd-division/country:us/state:nm/county:doña_ana
Eddy County	NM	Eddy County Clerk	(575) 885-3383	http://www.co.eddy.nm.us/clerk.html	ocd-division/country:us/state:nm/county:eddy
Grant County	NM	Grant County Clerk	(575) 574-0042	http://www.grantcountynm.com/grant_county_nm_info.php?CID=372	ocd-division/country:us/state:nm/county:grant
Guadalupe County	NM	Guadalupe County Clerk	(575) 472-3791	http://www.county-clerk.net/countyclerk.asp?state=New%20Mexico&county=Guadalupe	ocd-division/country:us/state:nm/county:guadalupe
Harding County	NM	Harding County Clerk	(575) 673-2301		ocd-division/country:us/state:nm/county:harding
Hidalgo County	NM	Hidalgo County Clerk	(575) 542-9213		ocd-division/country:us/state:nm/county:hidalgo
Lea County	NM	Lea County Clerk	(575) 396-8619	http://www.leacounty.net/clerk.htm	ocd-division/country:us/state:nm/county:lea
Lincoln County	NM	Lincoln County Clerk	(575) 648-2394	http://www.lincolncountynm.gov/	ocd-division/country:us/state:nm/county:lincoln
Los Alamos County	NM	Los Alamos County Clerk	(505) 662-8010	http://www.losalamosnm.us/clerk/Pages/default.aspx	ocd-division/country:us/state:nm/county:los_alamos
Luna County	NM	Luna County Clerk	(575) 546-0491	http://www.lunacountynm.us/Clerk.html	ocd-division/country:us/state:nm/county:luna
McKinley County	NM	McKinley County Clerk	(505) 863-6866	http://www.co.mckinley.nm.us/clerk.htm	ocd-division/country:us/state:nm/county:mckinley
Mora County	NM	Mora County Clerk	(575) 387-2448	http://www.co.mckinley.nm.us/clerk.htm	ocd-division/country:us/state:nm/county:mora
Otero County	NM	Otero County Clerk	(575) 437-4942	http://www.co.mckinley.nm.us/clerk.htm	ocd-division/country:us/state:nm/county:otero
Quay County	NM	Quay County Clerk	(575) 461-0510	http://quaycounty-nm.gov/clerk.html	ocd-division/country:us/state:nm/county:quay
Rio Arriba County	NM	Rio Arriba County Clerk	(575) 588-7724	http://www.rio-arriba.org/departments_and_divisions/clerk's_office/clerk_.html	ocd-division/country:us/state:nm/county:rio_arriba
Roosevelt County	NM	Roosevelt County Clerk	(575) 356-8562	http://www.rooseveltcounty.com/?page_id=844	ocd-division/country:us/state:nm/county:roosevelt
San Juan County	NM	San Juan County Clerk	(505) 334-9471	http://www.sjcclerk.net	ocd-division/country:us/state:nm/county:san_juan
San Miguel County	NM	San Miguel County Clerk	(505) 425-9331	http://www.smcounty.net/Clerk.html	ocd-division/country:us/state:nm/county:san_miguel
Sandoval County	NM	Sandoval County Clerk	(505) 867-7573	http://www.sandovalcounty.com/clerk	ocd-division/country:us/state:nm/county:sandoval
Santa Fe County	NM	Santa Fe County Clerk	(505) 986-6280	http://www.co.santa-fe.nm.us/clerk	ocd-division/country:us/state:nm/county:santa_fe
Sierra County	NM	Sierra County Clerk	(575) 894-2840	http://www.sierracountynm.gov/department/138752-office-of-the-county-clerk	ocd-division/country:us/state:nm/county:sierra
Socorro County	NM	Socorro County Clerk	(575) 835-0423	http://www.socorrocounty.net/elected-offices/office-of-the-clerk	ocd-division/country:us/state:nm/county:socorro
Taos County	NM	Taos County Clerk	(575) 737-6380	http://www.taoscounty.org/index.php/departments/clerk-s-office	ocd-division/country:us/state:nm/county:taos
Torrance County	NM	Torrance County Clerk	(505) 246-4737	http://www.torrancecountynm.org/index.php?page=county-clerk	ocd-division/country:us/state:nm/county:torrance
Union County	NM	Union County Clerk	(575) 374-9491	http://www.unionnm.us	ocd-division/country:us/state:nm/county:union
Valencia County	NM	Valencia County Clerk	(505) 866-2075	http://www.co.valencia.nm.us/departments/clerk/County_Clerk.html	ocd-division/country:us/state:nm/county:valencia
